# points_per_std	n_y	W2
1.000000e+02	1.042000e+03	3.561247e+01
1.081633e+02	1.127000e+03	3.555927e+01
1.163265e+02	1.212000e+03	3.551623e+01
1.244898e+02	1.297000e+03	3.544204e+01
1.326531e+02	1.382000e+03	3.541241e+01
1.408163e+02	1.467000e+03	3.531365e+01
1.489796e+02	1.552000e+03	3.524147e+01
1.571429e+02	1.637000e+03	3.505877e+01
1.653061e+02	1.722000e+03	3.485616e+01
1.734694e+02	1.807000e+03	3.464198e+01
1.816327e+02	1.892000e+03	3.444538e+01
1.897959e+02	1.977000e+03	3.436791e+01
1.979592e+02	2.062000e+03	3.432085e+01
2.061224e+02	2.147000e+03	3.429294e+01
2.142857e+02	2.232000e+03	3.422641e+01
2.224490e+02	2.317000e+03	3.420329e+01
2.306122e+02	2.402000e+03	3.416851e+01
2.387755e+02	2.487000e+03	3.413538e+01
2.469388e+02	2.572000e+03	3.410349e+01
2.551020e+02	2.657000e+03	3.412588e+01
2.632653e+02	2.742000e+03	3.412426e+01
2.714286e+02	2.827000e+03	3.410088e+01
2.795918e+02	2.912000e+03	3.407792e+01
2.877551e+02	2.997000e+03	3.403626e+01
2.959184e+02	3.082000e+03	3.302836e+01
3.040816e+02	3.167000e+03	3.294956e+01
3.122449e+02	3.252000e+03	3.285018e+01
3.204082e+02	3.337000e+03	3.279926e+01
3.285714e+02	3.422000e+03	3.274586e+01
3.367347e+02	3.507000e+03	3.264089e+01
3.448980e+02	3.592000e+03	3.250456e+01
3.530612e+02	3.677000e+03	3.242887e+01
3.612245e+02	3.762000e+03	3.232885e+01
3.693878e+02	3.847000e+03	3.222627e+01
3.775510e+02	3.932000e+03	3.209827e+01
3.857143e+02	4.017000e+03	3.201951e+01
3.938776e+02	4.102000e+03	3.197180e+01
4.020408e+02	4.187000e+03	3.188804e+01
4.102041e+02	4.272000e+03	3.180706e+01
4.183673e+02	4.357000e+03	3.169003e+01
4.265306e+02	4.442000e+03	3.163917e+01
4.346939e+02	4.527000e+03	3.155746e+01
4.428571e+02	4.612000e+03	3.148239e+01
4.510204e+02	4.697000e+03	3.138669e+01
4.591837e+02	4.782000e+03	3.130664e+01
4.673469e+02	4.867000e+03	3.114497e+01
4.755102e+02	4.952000e+03	3.104711e+01
4.836735e+02	5.037000e+03	3.092579e+01
4.918367e+02	5.122000e+03	3.081055e+01
5.000000e+02	5.207000e+03	3.070613e+01
