# points_per_std	n_y	MI
1.000000e+02	1.280000e+03	7.010385e-01
1.081633e+02	1.385000e+03	7.010356e-01
1.163265e+02	1.489000e+03	7.004480e-01
1.244898e+02	1.594000e+03	7.010189e-01
1.326531e+02	1.698000e+03	7.010885e-01
1.408163e+02	1.802000e+03	7.014680e-01
1.489796e+02	1.907000e+03	7.013248e-01
1.571429e+02	2.011000e+03	7.012362e-01
1.653061e+02	2.116000e+03	7.011625e-01
1.734694e+02	2.220000e+03	7.011035e-01
1.816327e+02	2.325000e+03	7.010590e-01
1.897959e+02	2.429000e+03	7.014820e-01
1.979592e+02	2.534000e+03	7.011305e-01
2.061224e+02	2.638000e+03	7.010363e-01
2.142857e+02	2.743000e+03	7.010110e-01
2.224490e+02	2.847000e+03	7.003623e-01
2.306122e+02	2.952000e+03	7.005984e-01
2.387755e+02	3.056000e+03	7.006973e-01
2.469388e+02	3.161000e+03	7.008074e-01
2.551020e+02	3.265000e+03	7.009156e-01
2.632653e+02	3.369000e+03	7.010821e-01
2.714286e+02	3.474000e+03	7.010418e-01
2.795918e+02	3.578000e+03	7.010156e-01
2.877551e+02	3.683000e+03	7.011463e-01
2.959184e+02	3.787000e+03	7.013176e-01
3.040816e+02	3.892000e+03	7.009735e-01
3.122449e+02	3.996000e+03	7.009467e-01
3.204082e+02	4.101000e+03	7.010274e-01
3.285714e+02	4.205000e+03	7.010362e-01
3.367347e+02	4.310000e+03	7.010194e-01
3.448980e+02	4.414000e+03	7.009715e-01
3.530612e+02	4.519000e+03	7.008809e-01
3.612245e+02	4.623000e+03	7.007119e-01
3.693878e+02	4.727000e+03	7.004557e-01
3.775510e+02	4.832000e+03	7.010480e-01
3.857143e+02	4.936000e+03	7.010930e-01
3.938776e+02	5.041000e+03	7.011636e-01
4.020408e+02	5.145000e+03	7.013037e-01
4.102041e+02	5.250000e+03	7.015078e-01
4.183673e+02	5.354000e+03	7.010285e-01
4.265306e+02	5.459000e+03	7.010520e-01
4.346939e+02	5.563000e+03	7.010827e-01
4.428571e+02	5.668000e+03	7.011177e-01
4.510204e+02	5.772000e+03	7.011507e-01
4.591837e+02	5.877000e+03	7.011757e-01
4.673469e+02	5.981000e+03	7.013331e-01
4.755102e+02	6.085000e+03	7.014770e-01
4.836735e+02	6.190000e+03	7.016430e-01
4.918367e+02	6.294000e+03	7.009719e-01
5.000000e+02	6.399000e+03	7.009619e-01
