# points_per_std	n_y	W2
1.000000e+02	1.280000e+03	2.106087e+02
1.081633e+02	1.385000e+03	2.107238e+02
1.163265e+02	1.489000e+03	2.102944e+02
1.244898e+02	1.594000e+03	2.093338e+02
1.326531e+02	1.698000e+03	2.018563e+02
1.408163e+02	1.802000e+03	2.023011e+02
1.489796e+02	1.907000e+03	2.021971e+02
1.571429e+02	2.011000e+03	2.018897e+02
1.653061e+02	2.116000e+03	2.019613e+02
1.734694e+02	2.220000e+03	2.017056e+02
1.816327e+02	2.325000e+03	2.018245e+02
1.897959e+02	2.429000e+03	2.018354e+02
1.979592e+02	2.534000e+03	2.020220e+02
2.061224e+02	2.638000e+03	2.021516e+02
2.142857e+02	2.743000e+03	2.022329e+02
2.224490e+02	2.847000e+03	2.022603e+02
2.306122e+02	2.952000e+03	2.024421e+02
2.387755e+02	3.056000e+03	2.024667e+02
2.469388e+02	3.161000e+03	2.023183e+02
2.551020e+02	3.265000e+03	2.020459e+02
2.632653e+02	3.369000e+03	2.017215e+02
2.714286e+02	3.474000e+03	2.015177e+02
2.795918e+02	3.578000e+03	2.012085e+02
2.877551e+02	3.683000e+03	2.009075e+02
2.959184e+02	3.787000e+03	2.005743e+02
3.040816e+02	3.892000e+03	1.996733e+02
3.122449e+02	3.996000e+03	1.990535e+02
3.204082e+02	4.101000e+03	1.994888e+02
3.285714e+02	4.205000e+03	1.990889e+02
3.367347e+02	4.310000e+03	1.986358e+02
3.448980e+02	4.414000e+03	1.980114e+02
3.530612e+02	4.519000e+03	1.978047e+02
3.612245e+02	4.623000e+03	1.973436e+02
3.693878e+02	4.727000e+03	1.968503e+02
3.775510e+02	4.832000e+03	1.963648e+02
3.857143e+02	4.936000e+03	1.958462e+02
3.938776e+02	5.041000e+03	1.953265e+02
4.020408e+02	5.145000e+03	1.947263e+02
4.102041e+02	5.250000e+03	1.940993e+02
4.183673e+02	5.354000e+03	1.932537e+02
4.265306e+02	5.459000e+03	1.928700e+02
4.346939e+02	5.563000e+03	1.922882e+02
4.428571e+02	5.668000e+03	1.916892e+02
4.510204e+02	5.772000e+03	1.911550e+02
4.591837e+02	5.877000e+03	1.905961e+02
4.673469e+02	5.981000e+03	1.743191e+02
4.755102e+02	6.085000e+03	1.735333e+02
4.836735e+02	6.190000e+03	1.731210e+02
4.918367e+02	6.294000e+03	1.727529e+02
5.000000e+02	6.399000e+03	1.727736e+02
