# points_per_std	n_y	MI
1.000000e+02	1.288000e+03	2.051411e-01
1.081633e+02	1.393000e+03	2.045706e-01
1.163265e+02	1.499000e+03	2.043731e-01
1.244898e+02	1.604000e+03	2.048989e-01
1.326531e+02	1.709000e+03	2.050066e-01
1.408163e+02	1.814000e+03	2.050611e-01
1.489796e+02	1.919000e+03	2.050171e-01
1.571429e+02	2.024000e+03	2.050072e-01
1.653061e+02	2.129000e+03	2.050999e-01
1.734694e+02	2.234000e+03	2.052707e-01
1.816327e+02	2.340000e+03	2.054838e-01
1.897959e+02	2.445000e+03	2.057065e-01
1.979592e+02	2.550000e+03	2.051357e-01
2.061224e+02	2.655000e+03	2.051704e-01
2.142857e+02	2.760000e+03	2.052010e-01
2.224490e+02	2.865000e+03	2.052270e-01
2.306122e+02	2.970000e+03	2.052484e-01
2.387755e+02	3.075000e+03	2.050892e-01
2.469388e+02	3.181000e+03	2.052767e-01
2.551020e+02	3.286000e+03	2.055132e-01
2.632653e+02	3.391000e+03	2.047148e-01
2.714286e+02	3.496000e+03	2.046521e-01
2.795918e+02	3.601000e+03	2.046125e-01
2.877551e+02	3.706000e+03	2.045919e-01
2.959184e+02	3.811000e+03	2.049459e-01
3.040816e+02	3.916000e+03	2.049656e-01
3.122449e+02	4.022000e+03	2.049775e-01
3.204082e+02	4.127000e+03	2.049686e-01
3.285714e+02	4.232000e+03	2.044426e-01
3.367347e+02	4.337000e+03	2.044090e-01
3.448980e+02	4.442000e+03	2.049657e-01
3.530612e+02	4.547000e+03	2.049793e-01
3.612245e+02	4.652000e+03	2.049890e-01
3.693878e+02	4.757000e+03	2.054016e-01
3.775510e+02	4.863000e+03	2.052074e-01
3.857143e+02	4.968000e+03	2.050975e-01
3.938776e+02	5.073000e+03	2.050398e-01
4.020408e+02	5.178000e+03	2.050127e-01
4.102041e+02	5.283000e+03	2.053197e-01
4.183673e+02	5.388000e+03	2.049046e-01
4.265306e+02	5.493000e+03	2.048221e-01
4.346939e+02	5.598000e+03	2.047217e-01
4.428571e+02	5.704000e+03	2.046865e-01
4.510204e+02	5.809000e+03	2.046969e-01
4.591837e+02	5.914000e+03	2.047362e-01
4.673469e+02	6.019000e+03	2.047912e-01
4.755102e+02	6.124000e+03	2.048513e-01
4.836735e+02	6.229000e+03	2.049082e-01
4.918367e+02	6.334000e+03	2.049551e-01
5.000000e+02	6.440000e+03	2.049872e-01
