# points_per_std	n_y	W2
1.000000e+02	1.288000e+03	1.473814e+01
1.081633e+02	1.393000e+03	1.475699e+01
1.163265e+02	1.499000e+03	1.473575e+01
1.244898e+02	1.604000e+03	1.483678e+01
1.326531e+02	1.709000e+03	1.496980e+01
1.408163e+02	1.814000e+03	1.501382e+01
1.489796e+02	1.919000e+03	1.505495e+01
1.571429e+02	2.024000e+03	1.508050e+01
1.653061e+02	2.129000e+03	1.508056e+01
1.734694e+02	2.234000e+03	1.509201e+01
1.816327e+02	2.340000e+03	1.507966e+01
1.897959e+02	2.445000e+03	1.507476e+01
1.979592e+02	2.550000e+03	1.507243e+01
2.061224e+02	2.655000e+03	1.506662e+01
2.142857e+02	2.760000e+03	1.506582e+01
2.224490e+02	2.865000e+03	1.506903e+01
2.306122e+02	2.970000e+03	1.506453e+01
2.387755e+02	3.075000e+03	1.491733e+01
2.469388e+02	3.181000e+03	1.493234e+01
2.551020e+02	3.286000e+03	1.494598e+01
2.632653e+02	3.391000e+03	1.495347e+01
2.714286e+02	3.496000e+03	1.496655e+01
2.795918e+02	3.601000e+03	1.497271e+01
2.877551e+02	3.706000e+03	1.496858e+01
2.959184e+02	3.811000e+03	1.496391e+01
3.040816e+02	3.916000e+03	1.497416e+01
3.122449e+02	4.022000e+03	1.496805e+01
3.204082e+02	4.127000e+03	1.496302e+01
3.285714e+02	4.232000e+03	1.508736e+01
3.367347e+02	4.337000e+03	1.509784e+01
3.448980e+02	4.442000e+03	1.466085e+01
3.530612e+02	4.547000e+03	1.468833e+01
3.612245e+02	4.652000e+03	1.469925e+01
3.693878e+02	4.757000e+03	1.469641e+01
3.775510e+02	4.863000e+03	1.469479e+01
3.857143e+02	4.968000e+03	1.468292e+01
3.938776e+02	5.073000e+03	1.467029e+01
4.020408e+02	5.178000e+03	1.465336e+01
4.102041e+02	5.283000e+03	1.463624e+01
4.183673e+02	5.388000e+03	1.461890e+01
4.265306e+02	5.493000e+03	1.460004e+01
4.346939e+02	5.598000e+03	1.458669e+01
4.428571e+02	5.704000e+03	1.456115e+01
4.510204e+02	5.809000e+03	1.454039e+01
4.591837e+02	5.914000e+03	1.451979e+01
4.673469e+02	6.019000e+03	1.449737e+01
4.755102e+02	6.124000e+03	1.447790e+01
4.836735e+02	6.229000e+03	1.445643e+01
4.918367e+02	6.334000e+03	1.443580e+01
5.000000e+02	6.440000e+03	1.441412e+01
