# points_per_std	n_y	MI
1.000000e+02	1.336000e+03	5.750009e-01
1.081633e+02	1.445000e+03	5.750218e-01
1.163265e+02	1.554000e+03	5.752480e-01
1.244898e+02	1.663000e+03	5.755133e-01
1.326531e+02	1.772000e+03	5.750453e-01
1.408163e+02	1.881000e+03	5.753904e-01
1.489796e+02	1.990000e+03	5.750070e-01
1.571429e+02	2.099000e+03	5.756393e-01
1.653061e+02	2.208000e+03	5.750029e-01
1.734694e+02	2.317000e+03	5.746414e-01
1.816327e+02	2.426000e+03	5.750577e-01
1.897959e+02	2.535000e+03	5.752666e-01
1.979592e+02	2.644000e+03	5.755924e-01
2.061224e+02	2.753000e+03	5.756730e-01
2.142857e+02	2.862000e+03	5.750539e-01
2.224490e+02	2.971000e+03	5.755450e-01
2.306122e+02	3.080000e+03	5.752857e-01
2.387755e+02	3.189000e+03	5.751303e-01
2.469388e+02	3.298000e+03	5.750405e-01
2.551020e+02	3.407000e+03	5.755113e-01
2.632653e+02	3.516000e+03	5.752033e-01
2.714286e+02	3.625000e+03	5.750414e-01
2.795918e+02	3.734000e+03	5.744652e-01
2.877551e+02	3.843000e+03	5.748857e-01
2.959184e+02	3.952000e+03	5.752330e-01
3.040816e+02	4.061000e+03	5.750081e-01
3.122449e+02	4.170000e+03	5.752704e-01
3.204082e+02	4.279000e+03	5.756417e-01
3.285714e+02	4.388000e+03	5.745477e-01
3.367347e+02	4.497000e+03	5.750149e-01
3.448980e+02	4.606000e+03	5.750239e-01
3.530612e+02	4.715000e+03	5.750288e-01
3.612245e+02	4.824000e+03	5.750271e-01
3.693878e+02	4.933000e+03	5.743334e-01
3.775510e+02	5.042000e+03	5.745897e-01
3.857143e+02	5.151000e+03	5.746247e-01
3.938776e+02	5.260000e+03	5.749531e-01
4.020408e+02	5.369000e+03	5.748268e-01
4.102041e+02	5.478000e+03	5.748504e-01
4.183673e+02	5.587000e+03	5.749595e-01
4.265306e+02	5.696000e+03	5.748086e-01
4.346939e+02	5.805000e+03	5.749540e-01
4.428571e+02	5.914000e+03	5.749127e-01
4.510204e+02	6.023000e+03	5.709381e-01
4.591837e+02	6.132000e+03	5.631641e-01
4.673469e+02	6.241000e+03	5.587988e-01
4.755102e+02	6.350000e+03	5.491984e-01
4.836735e+02	6.459000e+03	5.399913e-01
4.918367e+02	6.568000e+03	5.309373e-01
5.000000e+02	6.677000e+03	5.223818e-01
