Dose	Hill_Comparison_Response
0.002100	4915.137546
0.002209	4949.956359
0.002324	4984.364207
0.002445	5018.357024
0.002572	5051.931116
0.002705	5085.083155
0.002846	5117.810174
0.002993	5150.109564
0.003149	5181.979066
0.003313	5213.416761
0.003485	5244.421071
0.003666	5274.990743
0.003856	5305.124848
0.004056	5334.822769
0.004267	5364.084196
0.004489	5392.909112
0.004722	5421.297792
0.004967	5449.250787
0.005225	5476.768920
0.005497	5503.853274
0.005782	5530.505184
0.006083	5556.726226
0.006399	5582.518209
0.006731	5607.883168
0.007081	5632.823350
0.007448	5657.341206
0.007835	5681.439383
0.008242	5705.120715
0.008670	5728.388211
0.009121	5751.245048
0.009595	5773.694563
0.010093	5795.740242
0.010617	5817.385710
0.011169	5838.634727
0.011749	5859.491175
0.012359	5879.959052
0.013001	5900.042463
0.013677	5919.745615
0.014387	5939.072803
0.015135	5958.028408
0.015921	5976.616889
0.016748	5994.842772
0.017618	6012.710647
0.018533	6030.225162
0.019496	6047.391013
0.020509	6064.212938
0.021574	6080.695715
0.022695	6096.844152
0.023874	6112.663083
0.025114	6128.157364
0.026418	6143.331864
0.027791	6158.191465
0.029234	6172.741052
0.030753	6186.985514
0.032350	6200.929736
0.034031	6214.578594
0.035799	6227.936955
0.037658	6241.009670
0.039615	6253.801573
0.041672	6266.317475
0.043837	6278.562162
0.046114	6290.540395
0.048510	6302.256901
0.051030	6313.716374
0.053681	6324.923476
0.056469	6335.882827
0.059403	6346.599009
0.062488	6357.076562
0.065734	6367.319981
0.069149	6377.333716
0.072741	6387.122170
0.076520	6396.689697
0.080495	6406.040601
0.084676	6415.179137
0.089075	6424.109504
0.093702	6432.835850
0.098569	6441.362269
0.103690	6449.692801
0.109076	6457.831428
0.114742	6465.782079
0.120703	6473.548623
0.126973	6481.134875
0.133569	6488.544592
0.140507	6495.781473
0.147806	6502.849160
0.155484	6509.751235
0.163561	6516.491227
0.172057	6523.072601
0.180995	6529.498769
0.190397	6535.773084
0.200288	6541.898841
0.210692	6547.879278
0.221637	6553.717576
0.233150	6559.416860
0.245261	6564.980198
0.258002	6570.410602
0.271404	6575.711031
0.285503	6580.884384
0.300334	6585.933511
0.315935	6590.861203
0.332347	6595.670202
0.349611	6600.363194
0.367772	6604.942813
0.386877	6609.411643
0.406974	6613.772215
0.428115	6618.027010
0.450354	6622.178460
0.473748	6626.228945
0.498358	6630.180801
0.524246	6634.036312
0.551479	6637.797716
0.580126	6641.467206
0.610262	6645.046927
0.641963	6648.538980
0.675311	6651.945422
0.710391	6655.268264
0.747293	6658.509477
0.786113	6661.670987
0.826949	6664.754681
0.869906	6667.762402
0.915095	6670.695956
0.962631	6673.557107
1.012636	6676.347581
1.065239	6679.069067
1.120575	6681.723215
1.178785	6684.311638
1.240019	6686.835914
1.304434	6689.297586
1.372195	6691.698162
1.443476	6694.039114
1.518459	6696.321883
1.597338	6698.547876
1.680315	6700.718469
1.767601	6702.835005
1.859422	6704.898797
1.956013	6706.911129
2.057622	6708.873252
2.164508	6710.786392
2.276947	6712.651743
2.395227	6714.470474
2.519651	6716.243725
2.650539	6717.972610
2.788225	6719.658217
2.933064	6721.301608
3.085427	6722.903821
3.245705	6724.465868
3.414308	6725.988737
3.591670	6727.473395
3.778246	6728.920783
3.974513	6730.331823
4.180975	6731.707410
4.398163	6733.048424
4.626633	6734.355718
4.866971	6735.630128
5.119794	6736.872470
5.385750	6738.083538
5.665522	6739.264110
5.959827	6740.414942
6.269420	6741.536774
6.595096	6742.630327
6.937689	6743.696306
7.298079	6744.735397
7.677190	6745.748271
8.075994	6746.735580
8.495515	6747.697964
8.936829	6748.636045
9.401068	6749.550430
9.889422	6750.441710
10.403144	6751.310465
10.943553	6752.157258
11.512034	6752.982638
12.110046	6753.787142
12.739122	6754.571293
13.400877	6755.335602
14.097008	6756.080567
14.829301	6756.806672
15.599633	6757.514391
16.409982	6758.204187
17.262426	6758.876509
18.159152	6759.531797
19.102459	6760.170479
20.094768	6760.792973
21.138625	6761.399686
22.236706	6761.991016
23.391829	6762.567351
24.606956	6763.129067
25.885205	6763.676534
27.229856	6764.210110
28.644356	6764.730146
30.132335	6765.236984
31.697609	6765.730957
33.344194	6766.212389
35.076314	6766.681597
36.898412	6767.138890
38.815161	6767.584568
40.831479	6768.018926
42.952539	6768.442249
45.183780	6768.854817
47.530927	6769.256901
50.000000	6769.648767
