Dose	Hill_Comparison_Response
0.002100	4303.033735
0.002209	4319.950945
0.002324	4336.810826
0.002445	4353.612615
0.002572	4370.355562
0.002705	4387.038928
0.002846	4403.661987
0.002993	4420.224027
0.003149	4436.724346
0.003313	4453.162258
0.003485	4469.537088
0.003666	4485.848176
0.003856	4502.094873
0.004056	4518.276546
0.004267	4534.392571
0.004489	4550.442341
0.004722	4566.425261
0.004967	4582.340748
0.005225	4598.188235
0.005497	4613.967167
0.005782	4629.677001
0.006083	4645.317210
0.006399	4660.887278
0.006731	4676.386705
0.007081	4691.815001
0.007448	4707.171693
0.007835	4722.456318
0.008242	4737.668429
0.008670	4752.807591
0.009121	4767.873383
0.009595	4782.865396
0.010093	4797.783235
0.010617	4812.626519
0.011169	4827.394879
0.011749	4842.087959
0.012359	4856.705416
0.013001	4871.246922
0.013677	4885.712160
0.014387	4900.100825
0.015135	4914.412626
0.015921	4928.647286
0.016748	4942.804539
0.017618	4956.884131
0.018533	4970.885822
0.019496	4984.809384
0.020509	4998.654601
0.021574	5012.421269
0.022695	5026.109196
0.023874	5039.718203
0.025114	5053.248123
0.026418	5066.698799
0.027791	5080.070088
0.029234	5093.361856
0.030753	5106.573984
0.032350	5119.706361
0.034031	5132.758890
0.035799	5145.731483
0.037658	5158.624064
0.039615	5171.436568
0.041672	5184.168941
0.043837	5196.821139
0.046114	5209.393129
0.048510	5221.884889
0.051030	5234.296406
0.053681	5246.627679
0.056469	5258.878714
0.059403	5271.049531
0.062488	5283.140156
0.065734	5295.150628
0.069149	5307.080992
0.072741	5318.931305
0.076520	5330.701633
0.080495	5342.392050
0.084676	5354.002639
0.089075	5365.533494
0.093702	5376.984714
0.098569	5388.356410
0.103690	5399.648700
0.109076	5410.861710
0.114742	5421.995575
0.120703	5433.050436
0.126973	5444.026444
0.133569	5454.923757
0.140507	5465.742541
0.147806	5476.482969
0.155484	5487.145221
0.163561	5497.729484
0.172057	5508.235952
0.180995	5518.664828
0.190397	5529.016318
0.200288	5539.290638
0.210692	5549.488009
0.221637	5559.608657
0.233150	5569.652817
0.245261	5579.620727
0.258002	5589.512634
0.271404	5599.328788
0.285503	5609.069447
0.300334	5618.734871
0.315935	5628.325330
0.332347	5637.841096
0.349611	5647.282447
0.367772	5656.649666
0.386877	5665.943039
0.406974	5675.162861
0.428115	5684.309428
0.450354	5693.383041
0.473748	5702.384005
0.498358	5711.312632
0.524246	5720.169234
0.551479	5728.954129
0.580126	5737.667641
0.610262	5746.310092
0.641963	5754.881814
0.675311	5763.383138
0.710391	5771.814400
0.747293	5780.175938
0.786113	5788.468096
0.826949	5796.691218
0.869906	5804.845652
0.915095	5812.931749
0.962631	5820.949863
1.012636	5828.900349
1.065239	5836.783566
1.120575	5844.599874
1.178785	5852.349638
1.240019	5860.033221
1.304434	5867.650991
1.372195	5875.203318
1.443476	5882.690571
1.518459	5890.113125
1.597338	5897.471354
1.680315	5904.765632
1.767601	5911.996339
1.859422	5919.163852
1.956013	5926.268552
2.057622	5933.310820
2.164508	5940.291038
2.276947	5947.209591
2.395227	5954.066861
2.519651	5960.863235
2.650539	5967.599098
2.788225	5974.274837
2.933064	5980.890839
3.085427	5987.447493
3.245705	5993.945186
3.414308	6000.384307
3.591670	6006.765246
3.778246	6013.088391
3.974513	6019.354133
4.180975	6025.562860
4.398163	6031.714962
4.626633	6037.810829
4.866971	6043.850851
5.119794	6049.835416
5.385750	6055.764914
5.665522	6061.639734
5.959827	6067.460265
6.269420	6073.226894
6.595096	6078.940010
6.937689	6084.599999
7.298079	6090.207248
7.677190	6095.762144
8.075994	6101.265072
8.495515	6106.716417
8.936829	6112.116562
9.401068	6117.465891
9.889422	6122.764785
10.403144	6128.013628
10.943553	6133.212799
11.512034	6138.362677
12.110046	6143.463641
12.739122	6148.516069
13.400877	6153.520336
14.097008	6158.476819
14.829301	6163.385891
15.599633	6168.247924
16.409982	6173.063291
17.262426	6177.832362
18.159152	6182.555505
19.102459	6187.233089
20.094768	6191.865478
21.138625	6196.453039
22.236706	6200.996135
23.391829	6205.495127
24.606956	6209.950375
25.885205	6214.362239
27.229856	6218.731077
28.644356	6223.057242
30.132335	6227.341091
31.697609	6231.582974
33.344194	6235.783244
35.076314	6239.942248
36.898412	6244.060336
38.815161	6248.137852
40.831479	6252.175140
42.952539	6256.172543
45.183780	6260.130402
47.530927	6264.049055
50.000000	6267.928838
