Dose	Fit_Response
0.002100	2969.890605
0.002209	2970.083298
0.002324	2970.284318
0.002445	2970.494020
0.002572	2970.712776
0.002705	2970.940973
0.002846	2971.179016
0.002993	2971.427323
0.003149	2971.686334
0.003313	2971.956505
0.003485	2972.238310
0.003666	2972.532246
0.003856	2972.838827
0.004056	2973.158590
0.004267	2973.492095
0.004489	2973.839924
0.004722	2974.202682
0.004967	2974.581001
0.005225	2974.975537
0.005497	2975.386974
0.005782	2975.816022
0.006083	2976.263422
0.006399	2976.729943
0.006731	2977.216387
0.007081	2977.723586
0.007448	2978.252406
0.007835	2978.803747
0.008242	2979.378547
0.008670	2979.977777
0.009121	2980.602449
0.009595	2981.253614
0.010093	2981.932364
0.010617	2982.639831
0.011169	2983.377194
0.011749	2984.145674
0.012359	2984.946540
0.013001	2985.781107
0.013677	2986.650743
0.014387	2987.556862
0.015135	2988.500934
0.015921	2989.484481
0.016748	2990.509080
0.017618	2991.576365
0.018533	2992.688029
0.019496	2993.845823
0.020509	2995.051561
0.021574	2996.307117
0.022695	2997.614432
0.023874	2998.975508
0.025114	3000.392419
0.026418	3001.867301
0.027791	3003.402363
0.029234	3004.999883
0.030753	3006.662208
0.032350	3008.391759
0.034031	3010.191029
0.035799	3012.062584
0.037658	3014.009063
0.039615	3016.033180
0.041672	3018.137722
0.043837	3020.325550
0.046114	3022.599601
0.048510	3024.962880
0.051030	3027.418470
0.053681	3029.969519
0.056469	3032.619249
0.059403	3035.370948
0.062488	3038.227969
0.065734	3041.193728
0.069149	3044.271702
0.072741	3047.465422
0.076520	3050.778473
0.080495	3054.214488
0.084676	3057.777141
0.089075	3061.470146
0.093702	3065.297246
0.098569	3069.262208
0.103690	3073.368817
0.109076	3077.620865
0.114742	3082.022146
0.120703	3086.576441
0.126973	3091.287513
0.133569	3096.159094
0.140507	3101.194870
0.147806	3106.398475
0.155484	3111.773471
0.163561	3117.323338
0.172057	3123.051458
0.180995	3128.961099
0.190397	3135.055400
0.200288	3141.337352
0.210692	3147.809781
0.221637	3154.475331
0.233150	3161.336445
0.245261	3168.395347
0.258002	3175.654017
0.271404	3183.114179
0.285503	3190.777278
0.300334	3198.644456
0.315935	3206.716541
0.332347	3214.994019
0.349611	3223.477019
0.367772	3232.165295
0.386877	3241.058206
0.406974	3250.154700
0.428115	3259.453298
0.450354	3268.952080
0.473748	3278.648670
0.498358	3288.540224
0.524246	3298.623425
0.551479	3308.894466
0.580126	3319.349055
0.610262	3329.982401
0.641963	3340.789222
0.675311	3351.763737
0.710391	3362.899679
0.747293	3374.190296
0.786113	3385.628362
0.826949	3397.206192
0.869906	3408.915653
0.915095	3420.748184
0.962631	3432.694818
1.012636	3444.746206
1.065239	3456.892642
1.120575	3469.124090
1.178785	3481.430221
1.240019	3493.800442
1.304434	3506.223930
1.372195	3518.689675
1.443476	3531.186512
1.518459	3543.703167
1.597338	3556.228290
1.680315	3568.750504
1.767601	3581.258441
1.859422	3593.740784
1.956013	3606.186310
2.057622	3618.583928
2.164508	3630.922719
2.276947	3643.191974
2.395227	3655.381230
2.519651	3667.480303
2.650539	3679.479323
2.788225	3691.368763
2.933064	3703.139465
3.085427	3714.782668
3.245705	3726.290028
3.414308	3737.653638
3.591670	3748.866045
3.778246	3759.920266
3.974513	3770.809794
4.180975	3781.528611
4.398163	3792.071191
4.626633	3802.432502
4.866971	3812.608010
5.119794	3822.593669
5.385750	3832.385926
5.665522	3841.981705
5.959827	3851.378405
6.269420	3860.573883
6.595096	3869.566446
6.937689	3878.354836
7.298079	3886.938213
7.677190	3895.316139
8.075994	3903.488564
8.495515	3911.455801
8.936829	3919.218514
9.401068	3926.777692
9.889422	3934.134637
10.403144	3941.290936
10.943553	3948.248450
11.512034	3955.009284
12.110046	3961.575776
12.739122	3967.950475
13.400877	3974.136120
14.097008	3980.135624
14.829301	3985.952056
15.599633	3991.588623
16.409982	3997.048652
17.262426	4002.335579
18.159152	4007.452926
19.102459	4012.404294
20.094768	4017.193346
21.138625	4021.823792
22.236706	4026.299382
23.391829	4030.623889
24.606956	4034.801103
25.885205	4038.834817
27.229856	4042.728820
28.644356	4046.486890
30.132335	4050.112783
31.697609	4053.610227
33.344194	4056.982916
35.076314	4060.234504
36.898412	4063.368600
38.815161	4066.388763
40.831479	4069.298495
42.952539	4072.101244
45.183780	4074.800393
47.530927	4077.399263
50.000000	4079.901107
