Dose	Fit_Response
0.002100	3078.338720
0.002209	3079.691724
0.002324	3081.082137
0.002445	3082.510930
0.002572	3083.979097
0.002705	3085.487650
0.002846	3087.037628
0.002993	3088.630089
0.003149	3090.266114
0.003313	3091.946807
0.003485	3093.673296
0.003666	3095.446732
0.003856	3097.268286
0.004056	3099.139158
0.004267	3101.060567
0.004489	3103.033758
0.004722	3105.059999
0.004967	3107.140582
0.005225	3109.276823
0.005497	3111.470062
0.005782	3113.721662
0.006083	3116.033010
0.006399	3118.405517
0.006731	3120.840618
0.007081	3123.339770
0.007448	3125.904454
0.007835	3128.536173
0.008242	3131.236453
0.008670	3134.006841
0.009121	3136.848908
0.009595	3139.764244
0.010093	3142.754460
0.010617	3145.821187
0.011169	3148.966077
0.011749	3152.190798
0.012359	3155.497036
0.013001	3158.886497
0.013677	3162.360900
0.014387	3165.921978
0.015135	3169.571481
0.015921	3173.311170
0.016748	3177.142817
0.017618	3181.068204
0.018533	3185.089122
0.019496	3189.207369
0.020509	3193.424746
0.021574	3197.743061
0.022695	3202.164121
0.023874	3206.689733
0.025114	3211.321703
0.026418	3216.061830
0.027791	3220.911908
0.029234	3225.873721
0.030753	3230.949041
0.032350	3236.139626
0.034031	3241.447216
0.035799	3246.873531
0.037658	3252.420269
0.039615	3258.089100
0.041672	3263.881666
0.043837	3269.799576
0.046114	3275.844404
0.048510	3282.017683
0.051030	3288.320902
0.053681	3294.755506
0.056469	3301.322887
0.059403	3308.024383
0.062488	3314.861274
0.065734	3321.834777
0.069149	3328.946043
0.072741	3336.196150
0.076520	3343.586104
0.080495	3351.116829
0.084676	3358.789167
0.089075	3366.603872
0.093702	3374.561603
0.098569	3382.662927
0.103690	3390.908307
0.109076	3399.298100
0.114742	3407.832557
0.120703	3416.511812
0.126973	3425.335883
0.133569	3434.304665
0.140507	3443.417930
0.147806	3452.675317
0.155484	3462.076334
0.163561	3471.620352
0.172057	3481.306602
0.180995	3491.134173
0.190397	3501.102005
0.200288	3511.208893
0.210692	3521.453478
0.221637	3531.834250
0.233150	3542.349543
0.245261	3552.997534
0.258002	3563.776243
0.271404	3574.683529
0.285503	3585.717095
0.300334	3596.874480
0.315935	3608.153068
0.332347	3619.550080
0.349611	3631.062582
0.367772	3642.687482
0.386877	3654.421532
0.406974	3666.261333
0.428115	3678.203335
0.450354	3690.243841
0.473748	3702.379010
0.498358	3714.604861
0.524246	3726.917278
0.551479	3739.312012
0.580126	3751.784692
0.610262	3764.330824
0.641963	3776.945799
0.675311	3789.624902
0.710391	3802.363314
0.747293	3815.156123
0.786113	3827.998329
0.826949	3840.884853
0.869906	3853.810542
0.915095	3866.770180
0.962631	3879.758496
1.012636	3892.770172
1.065239	3905.799848
1.120575	3918.842140
1.178785	3931.891637
1.240019	3944.942921
1.304434	3957.990567
1.372195	3971.029160
1.443476	3984.053296
1.518459	3997.057599
1.597338	4010.036722
1.680315	4022.985362
1.767601	4035.898265
1.859422	4048.770236
1.956013	4061.596148
2.057622	4074.370947
2.164508	4087.089662
2.276947	4099.747412
2.395227	4112.339412
2.519651	4124.860984
2.650539	4137.307557
2.788225	4149.674678
2.933064	4161.958017
3.085427	4174.153370
3.245705	4186.256667
3.414308	4198.263973
3.591670	4210.171498
3.778246	4221.975593
3.974513	4233.672760
4.180975	4245.259650
4.398163	4256.733070
4.626633	4268.089981
4.866971	4279.327501
5.119794	4290.442907
5.385750	4301.433636
5.665522	4312.297284
5.959827	4323.031605
6.269420	4333.634515
6.595096	4344.104087
6.937689	4354.438552
7.298079	4364.636297
7.677190	4374.695864
8.075994	4384.615947
8.495515	4394.395389
8.936829	4404.033185
9.401068	4413.528470
9.889422	4422.880523
10.403144	4432.088763
10.943553	4441.152743
11.512034	4450.072149
12.110046	4458.846793
12.739122	4467.476614
13.400877	4475.961669
14.097008	4484.302134
14.829301	4492.498295
15.599633	4500.550547
16.409982	4508.459389
17.262426	4516.225418
18.159152	4523.849328
19.102459	4531.331903
20.094768	4538.674012
21.138625	4545.876610
22.236706	4552.940726
23.391829	4559.867465
24.606956	4566.658000
25.885205	4573.313569
27.229856	4579.835474
28.644356	4586.225071
30.132335	4592.483771
31.697609	4598.613034
33.344194	4604.614365
35.076314	4610.489311
36.898412	4616.239458
38.815161	4621.866427
40.831479	4627.371870
42.952539	4632.757466
45.183780	4638.024923
47.530927	4643.175966
50.000000	4648.212343
