Normalized_signaling_variable	P_X_input	P_ZG_graded_output	P_ZB_switch_like_output
0.0000000000e+00	0.0000000000e+00	5.9333933455e-05	2.6760952909e-22
1.5003750938e-03	1.7754445985e-96	5.9913331993e-05	2.9607348304e-22
3.0007501875e-03	3.9339115976e-86	6.0497455568e-05	3.2718413369e-22
4.5011252813e-03	2.7838435301e-80	6.1086330978e-05	3.6112006957e-22
6.0015003751e-03	1.1157667192e-79	6.1681196689e-05	3.9894404544e-22
7.5018754689e-03	1.9243871013e-75	6.2282120745e-05	4.4119668137e-22
9.0022505626e-03	3.0841145453e-72	6.2887932724e-05	4.8736117089e-22
1.0502625656e-02	8.9120819249e-70	6.3498660268e-05	5.3770032968e-22
1.2003000750e-02	3.5560658156e-69	6.4115584362e-05	5.9378222696e-22
1.3503375844e-02	5.7419052953e-67	6.4738775184e-05	6.5640181089e-22
1.5003750938e-02	4.0293632804e-65	6.5367021927e-05	7.2479372742e-22
1.6504126032e-02	1.2589591863e-63	6.6000353098e-05	7.9934410464e-22
1.8004501125e-02	4.8124023170e-63	6.6640093530e-05	8.8236280902e-22
1.9504876219e-02	1.4187982990e-61	6.7286315591e-05	9.7501683211e-22
2.1005251313e-02	2.6641273727e-60	6.7937766823e-05	1.0761746020e-21
2.2505626407e-02	3.0157383944e-59	6.8594476624e-05	1.1864024803e-21
2.4006001500e-02	1.0559449078e-58	6.9257815033e-05	1.3090974850e-21
2.5506376594e-02	1.2989782568e-57	6.9927856674e-05	1.4459699414e-21
2.7006751688e-02	1.1919343314e-56	7.0603306133e-05	1.5953495776e-21
2.8507126782e-02	7.6906686427e-56	7.1284193720e-05	1.7580657442e-21
3.0007501875e-02	2.4211113789e-55	7.1971936087e-05	1.9391061150e-21
3.1507876969e-02	1.7564303135e-54	7.2666610172e-05	2.1409731757e-21
3.3008252063e-02	1.0334321924e-53	7.3366876266e-05	2.3612055539e-21
3.4508627157e-02	4.6939221789e-53	7.4072765617e-05	2.6010157010e-21
3.6009002251e-02	1.3302600288e-52	7.4785742928e-05	2.8677147943e-21
3.7509377344e-02	6.7915475005e-52	7.5505887516e-05	3.1649583287e-21
3.9009752438e-02	2.9593411623e-51	7.6231813999e-05	3.4891251041e-21
4.0510127532e-02	1.0586495768e-50	7.6963554590e-05	3.8419847082e-21
4.2010502626e-02	2.7270105068e-50	7.7702623520e-05	4.2342366921e-21
4.3510877719e-02	1.0848982774e-49	7.8449102549e-05	4.6712119764e-21
4.5011252813e-02	3.8108775204e-49	7.9201559211e-05	5.1475917729e-21
4.6511627907e-02	1.1468591323e-48	7.9960026708e-05	5.6659545472e-21
4.8012003001e-02	2.7166946930e-48	8.0726070319e-05	6.2419329493e-21
4.9512378095e-02	8.9767877271e-48	8.1499774312e-05	6.8832883702e-21
5.1012753188e-02	2.6824220040e-47	8.2279657684e-05	7.5822214718e-21
5.2513128282e-02	7.0807852862e-47	8.3065754654e-05	8.3424831217e-21
5.4013503376e-02	1.5596656505e-46	8.3859683106e-05	9.1868761290e-21
5.5513878470e-02	4.4660151979e-46	8.4661529887e-05	1.0126681763e-20
5.7014253563e-02	1.1769923304e-45	8.5469763962e-05	1.1150482089e-20
5.8514628657e-02	2.8028869508e-45	8.6284420595e-05	1.2263724430e-20
6.0015003751e-02	5.7970660095e-45	8.7107171879e-05	1.3499616016e-20
6.1515378845e-02	1.4816627851e-44	8.7938107303e-05	1.4874527171e-20
6.3015753938e-02	3.5322352558e-44	8.8775644273e-05	1.6371769979e-20
6.4516129032e-02	7.7405778613e-44	8.9619819126e-05	1.7999242407e-20
6.6016504126e-02	1.5157446856e-43	9.0472359804e-05	1.9805224245e-20
6.7516879220e-02	3.5327088736e-43	9.1333358512e-05	2.1813431263e-20
6.9017254314e-02	7.7598749216e-43	9.2201179523e-05	2.3999513333e-20
7.0517629407e-02	1.5877520198e-42	9.3075860273e-05	2.6374902612e-20
7.2018004501e-02	2.9641946822e-42	9.3959186241e-05	2.9009677855e-20
7.3518379595e-02	6.4010623823e-42	9.4851252423e-05	3.1938139335e-20
7.5018754689e-02	1.3135247569e-41	9.5750368340e-05	3.5124815120e-20
7.6519129782e-02	2.5371135967e-41	9.6656572560e-05	3.8586225642e-20
7.8019504876e-02	4.5422100000e-41	9.7571709829e-05	4.2423924545e-20
7.9519879970e-02	9.1995634567e-41	9.8495878005e-05	4.6687438387e-20
8.1020255064e-02	1.7823551822e-40	9.9427330203e-05	5.1325178683e-20
8.2520630158e-02	3.2776702213e-40	1.0036610615e-04	5.6360979305e-20
8.4021005251e-02	5.6548686347e-40	1.0131411164e-04	6.1941764227e-20
8.5521380345e-02	1.0844460492e-39	1.0227144746e-04	6.8138926954e-20
8.7021755439e-02	2.0002479811e-39	1.0323630862e-04	7.4877563488e-20
8.8522130533e-02	3.5257261620e-39	1.0420873604e-04	8.2192001772e-20
9.0022505626e-02	5.8861391509e-39	1.0519069838e-04	9.0294457581e-20
